OriginalAddress1,PermitNum,PermitClass,PermitClassMapped,PermitTypeDesc,Description,HousingUnits,HousingUnitsRemoved,HousingUnitsAdded,AppliedDate,EstProjectCost,IssuedDate,ExpiresDate,StatusCurrent,OriginalCity,OriginalState,OriginalZip,ContractorCompanyName,Link,Latitude,Longitude,Location1
6738 27TH AVE NW,6997014-CN,Single Family/Duplex,Residential,New,"Construct east one-family dwelling, per plans.  (Establish use as single family residence and detached accessory dwelling unit per Land Use Code.  Construct 2 one-family dwellings.  Reviews and processing for 2 construction records under 6980442-CN)",0,0,1,02/07/2024 12:00:00 AM,140006,02/07/2024 12:00:00 AM,08/07/2025 12:00:00 AM,Issued,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6997014-CN,47.67884323,-122.39045538,"(47.67884323, -122.39045538)"
2317 22ND AVE S,6875397-CN,Single Family/Duplex,Residential,New,"Construct center 2-family dwelling (Establish use as single-family residence (w/ attached accessory dwelling unit (AADU)), & construct (3) 2-family dwellings, per plan.  Review & process for (3) records under 6870611-CN)",0,0,2,01/04/2024 12:00:00 AM,279014,01/04/2024 12:00:00 AM,07/04/2025 12:00:00 AM,Issued,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6875397-CN,47.58240441,-122.30465288,"(47.58240441, -122.30465288)"
2319 22ND AVE S,6875398-CN,Single Family/Duplex,Residential,New,"Construct west 2-family dwelling (Establish use as single-family residence (w/ attached accessory dwelling unit (AADU)), & construct (3) 2-family dwellings, per plan.  Review & process for (3) records under 6870611-CN)",0,0,2,01/04/2024 12:00:00 AM,279014,01/04/2024 12:00:00 AM,07/04/2025 12:00:00 AM,Issued,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6875398-CN,47.58240509,-122.30478295,"(47.58240509, -122.30478295)"
13700 AURORA AVE N,6986978-CN,Commercial,Non-Residential,New,"Construct site improvements to install 2 gates adjacent to existing hotel, per plan.",0,0,0,01/03/2024 12:00:00 AM,20000,02/22/2024 12:00:00 AM,08/22/2025 12:00:00 AM,Issued,SEATTLE,WA,98133,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6986978-CN,47.72900324,-122.34474442,"(47.72900324, -122.34474442)"
4445 33RD AVE S,7002799-CN,Single Family/Duplex,Residential,New,"Construct a detached accessory structure accessory to a single-family residence, subject to field inspection (STFI)",,,,01/02/2024 12:00:00 AM,20000,01/19/2024 12:00:00 AM,07/19/2025 12:00:00 AM,Issued,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7002799-CN,47.56339158,-122.29167318,"(47.56339158, -122.29167318)"
2008 A 19TH AVE S,6954432-CN,Single Family/Duplex,Residential,New,"Construct new single family dwelling (SW) Unit 1B, per plan. (Establish use as single family residence with detached accessory dwelling unit per land use code. Construct (6) one family dwellings, per plan. Review and processing for six records under 6928935-CN)",0,0,1,12/29/2023 12:00:00 AM,139508,02/07/2024 12:00:00 AM,08/07/2025 12:00:00 AM,Issued,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6954432-CN,47.58519922,-122.30794611,"(47.58519922, -122.30794611)"
2006 B 19TH AVE S,6954433-CN,Single Family/Duplex,Residential,New,"Construct new single family dwelling (N) Unit 2A, per plan. (Establish use as single family residence with detached accessory dwelling unit per land use code. Construct (6) one family dwellings, per plan. Review and processing for six records under 6928935-CN)",0,0,1,12/29/2023 12:00:00 AM,139508,02/07/2024 12:00:00 AM,08/07/2025 12:00:00 AM,Issued,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6954433-CN,47.58525193,-122.30779767,"(47.58525193, -122.30779767)"
2008 B 19TH AVE S,6954434-CN,Single Family/Duplex,Residential,New,"Construct new single family dwelling (S) Unit 2B, per plan. (Establish use as single family residence with detached accessory dwelling unit per land use code. Construct (6) one family dwellings, per plan. Review and processing for six records under 6928935-CN))",0,0,1,12/29/2023 12:00:00 AM,139508,02/07/2024 12:00:00 AM,08/07/2025 12:00:00 AM,Issued,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6954434-CN,47.58520023,-122.30780197,"(47.58520023, -122.30780197)"
2006 C 19TH AVE S,6954435-CN,Single Family/Duplex,Residential,New,"Construct new single family dwelling (NE) Unit 3A, per plan. (Establish use as single family residence with detached accessory dwelling unit per land use code. Construct (6) one family dwellings, per plan. Review and processing for six records under 6928935-CN)",0,0,1,12/29/2023 12:00:00 AM,141436,02/07/2024 12:00:00 AM,08/07/2025 12:00:00 AM,Issued,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6954435-CN,47.58525309,-122.30766471,"(47.58525309, -122.30766471)"
2008 C 19TH AVE S,6954436-CN,Single Family/Duplex,Residential,New,"Construct new single family dwelling (SE) Unit 3B, per plan. (Establish use as single family residence with detached accessory dwelling unit per land use code. Construct (6) one family dwellings, per plan. Review and processing for six records under 6928935-CN)",0,0,1,12/29/2023 12:00:00 AM,141436,02/07/2024 12:00:00 AM,08/07/2025 12:00:00 AM,Issued,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6954436-CN,47.5851996,-122.3076639,"(47.5851996, -122.3076639)"
